id_producto;proveedor;categoria;nombre;ref_fabricante;ref_proveedor;stock;precio_venta;imagenes;descripcion
32081;2;0;1N4734A-T;32081;32081;200;0,05280;;DIODO ZENER 1W 5,6V DO41
32082;2;0;1N4739A;32082;32082;0;0,05200;;DIODO ZENER 1W 9,1V DO41
32083;2;0;5315TC-374XGLB;32083;32083;0;1,86000;;INDUCTOR
32084;2;0;5315TC-105XGLB;32084;32084;0;1,86000;;INDUCTOR
32085;2;8010107;TLHR4405;32085;32085;0;0,26160;;DIODO LED 3 ROJO DIFUSO 6.3 mcd 60 G
32086;2;91022;0612 1% 750R;32086;32086;0;0,32000;;CHIP RESISTENCIA PELICULA SMD
32087;2;0;Z86E0412PSG1866;32087;32087;0;3,32000;;MICROPROCESADOR DMA 6Mhz R.E.TEMPERATURA
32088;2;0;17.106D;32088;32088;0;4,32000;;CONMUTADOR DESLIZANTE 1C 2P RECT.C/AL.CI
32089;2;0;STRA6159M;32089;32089;0;3,18000;;CIRCUITO INTEGRADO DIL8
32090;2;0;MC33067PG;32090;32090;0;4,48000;;CIRCUITO INTEGRADO PDIP16
32091;2;0;KSM1050;32091;32091;0;8,75000;;CEDULA SOLAR MONOCRISTALINA  5V 100mA
32092;2;0;680uF 16V 8X15;32092;32092;0;0,96000;;CONDEN.ELECTRO.RADIAL 105G R.3,5
32093;2;0;MI0805K601R-10;32093;32093;0;0,05400;;CHIP FERRITA EMI 0805 600R 1,3X2,1
32094;2;41343;2567-3362;32094;32094;0;0,24000;;TIRA 2,54 36V P/CUAD.CODO 3+1,5+2,54+7
32095;2;0;AG500110;32095;32095;0;7,70000;;AGUA OXIGENADA DE 110 VOLUMENES 1/2L.
32096;2;0;DS2430A;32096;32096;0;7,94000;;CIRCUITO INTEGRADO TO92
32097;2;0;PT570024;32097;32097;0;12,16000;;RELE SCHRACK 4 CON. 24Vdc
32098;2;0;PT78740;32098;32098;0;9,96000;;ZOCALO RELE SCHRACK PT78740 GUIA DIN
32099;2;0;PWV130-1;32099;32099;0;0,04200;;BRIDA MONTAJE EN PANEL 4,8X130 NEGRO
32100;2;0;1N5244B;32100;32100;0;0,02400;;DIODO ZENER 1W 14V DO41
32101;2;0;SS411A;32101;32101;0;5,10000;;TRANSISTOR SENSOR MAGNETICO TO92
32102;2;0;352-755 LAD-RS-SR;32102;32102;0;4,99600;;DIODO LED ROJO PARA BOTON PULSADOR
32103;2;0;352-749 LAD-RS-SG;32103;32103;0;5,49600;;DIODO LED ROJO PARA BOTON PULSADOR
32104;2;0;STP5NK80ZFP;32104;32104;1;3,54000;;TRANSISTOR MOSFET CANAL N 800V 4,3A
32105;2;0;10nF 3000V 2220 X7R;32105;32105;500;1,08800;;CHIP CONDENSADOR CERAMICO MULTICAPA
32106;2;0;SK70KQ08;32106;32106;0;89,26000;;TRIAC MODULO SCR 200A 800V T-1 ROSCADO
32107;2;0;ATF54143TR1G;32107;32107;0;6,04000;;CHIP TRANSISTOR JFET CANAL-N SOT23
32108;2;0;BXRC-30H4000-F-03;32108;32108;0;34,28000;;DIODO LED BRIDGELUX BLANCO 3000K
32109;2;0;WP1250;32109;32109;0;26,56000;;BATERIA PLOMO 12V 2 A/h.143X23X64
32110;2;0;IXDD604PI;32110;32110;0;2,88000;;CIRCUITO INTEGRADO DIL8
32111;2;0;AFYS162-01ABAYDCL;32111;32111;10;7,00000;;DISPLAY LCD ALFANU.16X2 VER.C/L.36X80
32112;2;0;5552-3641;32112;32112;0;2,70000;;CONECTOR 2,54 2X32V P/CU.HE.RE.11+2,30
32113;2;0;ACH32C-104-T001;32113;32113;0;0,96400;;CHIP FILTRO EMI 1206 100nF 50V 6A
32114;2;0;PV36P502C01B00;32114;32114;0;1,68000;;POTEN.MULTIV.AJ.HORIZ.Y 9,5X5X10
32115;2;30302;MCP6L01T-E/OT;32115;32115;0;0,33600;;CHIP CIR.INTEGR.SOT23/5
32116;2;0;SI2309CDS-T1-GE3;32116;32116;0;0,38400;;CHIP CIR.INTEGR.SOT23 (TO236AB)
32117;2;0;MCP6546T-E/OT;32117;32117;0;0,48080;;CHIP CIR.INTEGR.SOT23/5
32118;2;0;830-80-003-10-001101;32118;32118;0;0,42000;;TIRA 2,00 3V P/REDONDO RECTA
32119;2;40512;0918 540 6902 CL2;32119;32119;30;3,36000;;CONECTOR C/PLA.2,54 2X20V MA.RE.C/EX.CO.
32120;2;0;220nF 25V 0603 X7R;32120;32120;0;0,05000;;CHIP CONDENSADOR CERAMICO MULTICAPA
32121;2;0;UC3845BNG;32121;32121;0;1,12000;;CIRCUITO INTEGRADO DIL8
32122;2;0;FR157G-B;32122;32122;0;0,56000;;DIODO RECTIFICADOR 1A 1000V DO41 AXIAL
32123;2;0;8543BGILF;32123;32123;0;25,20000;;CHIP CIR.INTEGR.TSSOP20 4,5X6,6X6,6 0,65
32124;2;0;2652-2301;32124;32124;0;0,14000;;CONECTOR 2,54X2,54 2X15V HE.RE.C/PO.S/CT
32125;2;0;DB03;32125;32125;0;7,70000;;ACCESORIO CARRIL DIN
32126;2;0;0805 1% 169K;32126;32126;0;0,03200;;CHIP RESISTENCIA PELICULA SMD
32128;2;0;87224-3;32128;32128;0;0,68880;;TIRA 2,54 3V P/CUAD.RECTO 3+2,54+8,08
32129;2;0;RFS2-18-8-A5;32129;32129;0;1,07000;;FERRITA PARA CABLE PLANO 28,5X6,5X8
32130;2;0;HC49S/U4 13,824 Mhz.;32130;32130;0;0,52000;;CRISTAL CUARZO BAJO PERFIL 50ppm 20pF
32131;2;0;MBR3045CT;32131;32131;0;2,72000;;DIODO RECTIFI.DOBLE K/C 30A 45V TO220AB
32132;2;0;PWR220T354R70F;32132;32132;0;6,18000;;RESISTENCIA FILM GRUESO 35W 4R7 1% TO220
32133;2;10205;A301-300W-12V-USB;32133;32133;2;40,00000;;INVERSOR 12VDC/220VAC 300W ONDA MODIFICA
32134;2;10205;A301-150W-12V;32134;32134;2;40,00000;;INVERSOR 12VDC/220VAC 150W ONDA MODIFICA
32135;2;0;EB900;32135;32135;0;28,68000;;BARRA ESTANO Sn 60% Pb 40% 900grs
32136;2;0;DO5010H334MLB;32136;32136;0;2,88000;;CHIP INDUCTOR POT.330uH 3A 15,3X18X7,7
32137;2;0;BAT 538;32137;32137;0;10,40000;;BATERIA LITIO 3,7V 2.400mA 18X65 C/TERM.
32138;2;0;691321100008;32138;32138;0;2,50000;;REGLETA ENCHUFABLE 3,50 8V MA.RE.CERRADO
32139;2;0;691363110008;32139;32139;0;7,04600;;REGLETA ENCHUFABLE 5,08 8V HE.RE.CA.CO.
32140;2;0;691321100004;32140;32140;0;1,50000;;REGLETA ENCHUFABLE 3,50 4V MA.RE.CERRADO
32141;2;0;691363110004;32141;32141;0;4,18400;;REGLETA ENCHUFABLE 5,08 4V HE.RE.CA.CO.
32142;2;0;691321100006;32142;32142;0;2,26000;;REGLETA ENCHUFABLE 3,50 6V MA.RE.CERRADO
32143;2;0;691363110006;32143;32143;0;5,72400;;REGLETA ENCHUFABLE 5,08 6V HE.RE.CA.CO.
32144;2;30301;TDA7052/N2,112;32144;32144;0;9,80000;;CIRCUITO INTEGRADO DIL8
32145;2;0;ROE-0505-S;32145;32145;0;3,12000;;CONVERTIDOR DC/DC E-5V S-5V 1W SIP4
32146;2;0;25YXF1000MEFC12.5X20;32146;32146;0;1,32000;;CONDEN.ELCO.RADIAL 105G R.5 B.IMPEDANCIA
32147;2;0;CGA5L2C0G1H104J160AA;32147;32147;0;0,64000;;CHIP CONDENSADOR CERAMICO MULTICAPA
32148;2;0;C3216C0G2A103J115AA;32148;32148;0;0,39600;;CHIP CONDENSADOR CERAMICO MULTICAPA
32149;2;0;25YXF47MEFC5X11;32149;32149;0;0,20400;;CONDEN.ELCO.RADIAL 105G R.5 B.IMPEDANCIA
32150;2;0;35ZLH1000MEFC12.5X20;32150;32150;0;1,66000;;CONDEN.ELCO.RADIAL 105G R.5 B.IMPEDANCIA
32151;2;0;16PK220MEFC6.3X11;32151;32151;0;0,21800;;CONDEN.ELECTRO.RADIAL 85G R.2,5
32152;2;0;PMEG6045ETP;32152;32152;0;0,90000;;CHIP DIODO ULTRA RAP.4,5A 60V SOD128
32153;2;0;1812L075/33DR;32153;32153;0;0,75800;;CHIP MULTIFUSIBLE 33V 0,75A
32154;2;0;744 066 220;32154;32154;0;2,22000;;CHIP INDUCTOR POT.22uH 0,6A 10X10X3,8
32155;2;0;MMZ1608R102A;32155;32155;0;0,08400;;CHIP FERRITA BEADS 0603 1,6X0,8 1K
32156;2;0;742792113;32156;32156;0;0,42600;;CHIP FERRITA EMI 1206 120R 1,6X3,2
32157;2;0;TLMP1100-GS08;32157;32157;0;0,88000;;DIODO LED 0603 0,6X1,6X1 VERDE 7,5mcd
32158;2;0;TLMB1100-GS08;32158;32158;0;1,56800;;DIODO LED 0603 0,6X1,6X1 AZUL 7,5mcd
32159;2;0;ARC241/CAT16 2,2K 5%;32159;32159;0;0,11200;;CHIP RED RESIST.4 R.8 P.1,6X3,2 CONCAVA
32160;2;0;M24M01-RMN6P;32160;32160;0;2,40000;;CHIP CIR.INTEGR.SO8 4X6,2X5 1,27
32161;2;0;WM8731SEDS/V;32161;32161;0;3,46000;;CHIP CIR.INTEGR.SSOP28 5,4X7,9X10,3 0,65
32162;2;0;9C-7.3728MAAJ-T;32162;32162;0;0,59000;;CHIP CRISTAL CUARZO 4,5X10,8X5
32163;2;0;7A-12.288MAAJ-T;32163;32163;0;1,12000;;CHIP CRISTAL CUARZO 5X3,2X1,2
32164;2;0;PESD5Z5.0,115;32164;32164;0;0,45200;;CHIP DIODO UNIDIRECCIONAL TVS SOD523
32165;2;0;1nF 2000V 2220 X7R;32165;32165;0;1,98400;;CHIP CONDENSADOR CERAMICO MULTICAPA
32166;2;0;25YXF100MEFC6.3X11;32166;32166;0;0,30400;;CONDEN.ELCO.RADIAL 105G R.5 B.IMPEDANCIA
32167;2;0;35RAPC4BH3;32167;32167;0;2,20000;;JACK 3,5 ESTEREO HEMBRA C.I. SWITCHCRAFT
32168;2;0;150120RS75000;32168;32168;0;0,50000;;DIODO LED 1206 3,2X1,6 ROJO
32169;2;0;150080VS75000;32169;32169;0;0,46000;;DIODO LED 1206 3,2X1,6 VERDE
